54,102343
53,103172
52,104008
51,104843
50,105666
49,106488
48,107304
47,108119
46,108942
45,109757
44,110162
43,110991
42,111800
41,112615
40,113417
39,114220
38,115022
37,115824
36,116626
35,117017
34,117799
33,118581
32,119364
31,119755
30,120543
29,121312
28,122074
27,122445
26,123207
25,123962
24,124340
23,125109
22,125851
21,126215
20,126937
19,127301
18,128023
17,128387
16,129109
15,129466
14,130174
13,130816
12,131052
11,131249
10,131438
9,131628
8,131824
7,132204
6,132407
5,132603
4,132793
3,132976
2,133159
1,133348
0,133538
-1,133728
-2,134120
-3,134310
-4,134513
-5,134716
-6,134913
-7,135109
-8,135305
-9,135508
-10,135901
-11,136104
-12,136307
-13,136504
-14,136707
-15,136917
-16,137133
-17,137539
-18,137749
-19,137959
-20,138169
-21,138378
-22,138588
-23,138805
-24,139238
-25,139448
-26,139664
-27,139881
-28,140097
-29,140314
-30,140740
-31,140950
-32,141173
-33,141396
-34,141606
-35,141816
-36,142026
-37,142472
-38,142696
-39,142919
-40,143149
-41,143372
-42,143589
-43,144028
-44,144238
-45,144455
-46,144665
-47,144874
-48,145084
-49,145294
