66,119935
65,120353
64,121216
63,122065
62,123352
61,124214
60,125077
59,125926
58,127206
57,128055
56,128911
55,129760
54,130609
53,131465
52,132308
51,133581
50,134430
49,135273
48,136108
47,136951
46,137793
45,138636
44,139478
43,140314
42,141156
41,141999
40,142821
39,143650
38,144479
37,145301
36,146124
35,146946
34,147762
33,148577
32,149386
31,150195
30,151004
29,151820
28,152622
27,153026
26,153822
25,154604
24,155339
23,155609
22,155826
21,156015
20,156388
19,156578
18,156774
17,156964
16,157160
15,157350
14,157553
13,157763
12,158176
11,158385
10,158595
9,158805
8,159008
7,159218
6,159428
5,159834
4,160037
3,160247
2,160457
1,160660
0,160870
-1,161093
-2,161519
-3,161729
-4,161932
-5,162148
-6,162365
-7,162582
-8,162798
-9,163251
-10,163468
-11,163698
-12,163928
-13,164151
-14,164381
-15,164834
-16,165057
-17,165287
-18,165517
-19,165741
-20,165964
-21,166424
-22,166660
-23,166904
-24,167147
-25,167391
-26,167877
-27,168114
-28,168351
-29,168588
-30,168824
-31,169298
-32,169528
-33,169758
-34,169987
-35,170224
-36,170461
-37,170934
-38,171171
-39,171414
-40,171658
-41,171901
-42,172381
-43,172625
-44,172875
-45,173125
-46,173375
-47,173835
-48,174078
-49,174342
-50,174619
